user,text,refined
chrismoorelive,"b""Self-Esteem begins and ends with you. The more you know about yourself, the less moved you'll be by the opinions of others. - B. Dilley""",selfesteem begin end the know le move youll opinion other B dilley
AdamMGrant,"b'Revolted by racist text messages targeting every black freshman @Penn. \nMLK: ""Injustice anywhere is a threat to jus\xe2\x80\xa6 https://t.co/DKyPIm9alV'",revolt racist text messag target everi black freshman mlk injustic anywher threat jus…
nualafmurphy,"b""So proud of my friend setting up first circle for dads! Check it out and let's #LeanInTogether r/t leaninging. https://t.co/cwuv9aGtbk #dads""",So proud friend set first circl dad check let leanintogeth r/t leaning dad
LeanInOrg,b'Today we are more committed than ever to creating a world where all women can reach for and achieve their ambitions: https://t.co/g0Uv1jFfXm',today commit ever creat world woman reach achiev ambit
LeanInIndia,"b'Get ready for a FB Live Lean In Moderator Training session by president @KhuranaSanya. For more details,check out https://t.co/psDRKL5RlV'",get readi FB live lean In moder train session presid for detailscheck
nualafmurphy,"b""@phirante @mclements04 @LeanInOrg most definitely. This is everyone's place to #makechange #leanintogether""",definit thi everyon place makechang leanintogeth
phirante,b'@mclements04 @LeanInOrg @nualafmurphy I agree. We have to take both men and women together if we really want a change.',I agre We take men woman togeth realli want chang
mclements04,"b'""It\'s is important to include men in the conversation, equality is for everyone"" #LeanInTogether @nualafmurphy @LeanInOrg'",it import includ men convers equal everyon leanintogeth
tricksy0207,b'#RHForumIndia Amazing technology to be seen and know about! \n@redhatopen keep up the good work!',rhforumindia amaz technolog seen know keep good work
potentialultd,"b""Today's Thought: Giving up doesn't always mean you're weak. Sometimes it means you are strong and smart enough to let go and move on.""",today thought give doesnt alway mean your weak sometim mean strong smart enough let go move
LeanInOrg,"b'\xe2\x80\x9cI will proudly proclaim myself a card-carrying member."" -Sheryl Sandberg on #FeministFightClub by @jess7bennett https://t.co/v6DMFR34B9'",I proudli proclaim cardcarri member sheryl sandberg feministfightclub
leaninigdtuw,"b'Keeping up with the promise, here is our TED talk of the week.... https://t.co/oW7IidZPwN'",keep promis ted talk week
YesYoureSexist,"b""Why do people love conspiracy theories so much? Can't we all agree the human race is entirely too lazy for the amt of effort required?""",whi peopl love conspiraci theori much cant agre human race entir lazi amt effort requir
amyjccuddy,"b""At dinner:\nGuy sitting next to us says to server: I teach math. But people hate math.\nServer: People don't hate math; they hate DOING math.""",At dinner guy sit next u say server I teach math but peopl hate math server peopl dont hate math hate do math
LeanInOrg,"b'""If at first you don\'t succeed, you\'ll know you\'re aiming high enough."" -@AdamMGrant #Originals https://t.co/yPhHdG8CuE'",If first dont succeed youll know your aim high enough origin
amyjccuddy,b'There are things that slip away\nLike our endless numbered days https://t.co/UqwLoPWLbN',there thing slip away like endless number day
AdamMGrant,"b'Spontaneous giving and calculated greed: research suggests our instincts are generous, but we often override them. https://t.co/SMMxTgNFnF'",spontan give calcul greed research suggest instinct gener often overrid
LeanInCanada,"b'Thank you so much, #leanin sisters! Have a marvelous weekend. \xf0\x9f\x98\x98 @LeanInBelfast https://t.co/UqVBKtRgMg'",thank much leanin sister have marvel weekend
LeanInCanada,"b""Welcome to our new directors! Together women can do amazing things, and we can't wait to #LeanInTogether with you. https://t.co/P7PJXGjtI5""",welcom new director togeth woman amaz thing cant wait leanintogeth
LeanInOrg,"b'""Together Women Can is about celebrating women who have helped each other, &amp; how we can continue to help each other"" https://t.co/sqTUOzHMZy'",togeth woman can celebr woman help amp continu help
ginatrapani,"b'This Saturday: ""We recognize that we must organize among ourselves to fight for our rights, safety, and visibility."" https://t.co/Lcsl3OCNKZ'",thi saturday We recogn must organ among fight right safeti visibl
LeanInOrg,"b""We're proud to launch Together Women Can about the power of women supporting each other. \xe2\x9d\xa4\xef\xb8\x8f https://t.co/s6TJUxE8CJ https://t.co/wIsaWzJCrA""",were proud launch togeth woman can power woman support
AdamMGrant,"b'Don\'t switch from ""receive to transmit. Once you do that your education is over."" \nMatt Damon, I like them apples: https://t.co/miSvmOR7vF'",dont switch receiv transmit onc educ matt damon I like appl
melrobbins,"b'That time when they say ""Make a silly face"" and you\'re the only one who does! LOL @ChaseforBiz #DisruptYourBiz https://t.co/DHG9x7jMOS'",that time say make silli face your one lol disruptyourbiz
melrobbins,b'Never forget that a smile is always in season and it\xe2\x80\x99s the best make-up any girl can wear. \xe2\x9d\xa4\xef\xb8\x8f #wcw https://t.co/jn27HV2emQ',never forget smile alway season best makeup girl wear wcw
AdamMGrant,"b'When pitching a creative idea, make the unfamiliar familiar. But not too familiar...\n#Originals #CannesLions https://t.co/kDmz0ZtSjj'",when pitch creativ idea make unfamiliar familiar but familiar origin canneslion
WomenWhoCode,"b'""Develop a self which is deeper than the praise and punishment around you""--Vivienne Ming #mondaymotivation https://t.co/hcDUG0ylUw'",develop self deeper prais punish around vivienn ming mondaymotiv
nualafmurphy,b'@KhuranaSanya @vmbusiness Tnx so much',tnx much
nualafmurphy,"b'No more #VOOM from me - it\'s good night from me...and good night from #HappyMummyHappyBaby ""after all tomorrow is another day"" wot film?'",No voom good night meand good night happymummyhappybabi tomorrow anoth day wot film
nualafmurphy,b'@PlusGuidance \xe2\x9d\xa4\xef\xb8\x8f ur vote: help me #voom 2 #PitchToRich https://t.co/XE2fyWxWvK\nB/C #maternalmentalhealthmatters #pnd plz R/T #kickthetaboo \xf0\x9f\x91\x8a',help voom pitchtorich b/c maternalmentalhealthmatt pnd plz r/t kickthetaboo
apurvachawla1,b'Brilliant conversations can never be underestimated. Nothing beats them! Ever! :D',brilliant convers never underestim noth beat ever D
LeanInOrg,b'We all know networks are important! Get tips to grow yours from @INSEAD professor Herminia Ibarra. #LeanIn https://t.co/HUxstEjRzn',We know network import get tip grow professor herminia ibarra leanin
IBMcloud,"b""Be sure to swing by the IBM booth at #OpenStack Summit! We promise you won't be alone ... #WeAreOpenStack https://t.co/WtTA4JWQti""",Be sure swing ibm booth openstack summit We promis wont alon weareopenstack
melrobbins,b'Intent reveals desire. Action reveals commitment.',intent reveal desir action reveal commit
jigyasa_grover,"b'Century. Here is to my first 100 answers on @Quora. And to the ""Most Viewed Writer"" in Google Summer of Code (@gsoc) https://t.co/8EWrCnktTp'",centuri here first answer and most view writer googl summer code
AdamMGrant,"b'Music is ""a preserve for endangered emotions.""\n\n-Michael Tilson Thomas, conductor and composer'",music preserv endang emot michael tilson thoma conductor compos
AdamMGrant,"b""If you want people to be generous, you don't need to offer incentives. You just need to remove the disincentives.""",If want peopl gener dont need offer incent you need remov disincent
AdamMGrant,"b""When leaders clash with the culture, firms perform better. The best leaders bring something that's missing: https://t.co/2JcRHQIuU7""",when leader clash cultur firm perform better the best leader bring someth that miss
AdamMGrant,b'New data on an unexpected way that women save companies $millions: they book travel two days earlier than men. https://t.co/EA75kjthQp',new data unexpect way woman save compani million book travel two day earlier men
namratab94,b'Yay!! \xf0\x9f\x98\x8a\xf0\x9f\x91\x8f Congrats @KhuranaSanya \xf0\x9f\x98\x8e https://t.co/eOpCAUmwzB',yay congrat
tweetytestbot,b'EQUAL PAY DAY RT @namratab94: Hello Tweety testbot! #leanin @KhuranaSanya Checking your bot. \xf0\x9f\x98\x80',equal pay day hello tweeti testbot leanin check bot
namratab94,b'Hello Tweety testbot! #leanin @KhuranaSanya Checking your bot. \xf0\x9f\x98\x80',hello tweeti testbot leanin check bot
fbOpenSource,"b""The open source booth at #F8 is busy already ;) but we'll be here both days. Come and say hello! https://t.co/RXlmZeZedz""",the open sourc booth F8 busi alreadi well day come say hello
NYCFirstLady,"b""I've never met a man who deserved to make more than a woman for equal work.\n\nLet\xe2\x80\x99s get organized. Let\xe2\x80\x99s get to work. #EqualPayDay""",ive never met man deserv make woman equal work let get organ let get work equalpayday
melrobbins,"b""It's ironic how the winners in life are the ones who don't compete. Just be you. Nobody does it better. \xf0\x9f\x92\xaf https://t.co/Oy3KzDBqO6""",it iron winner life one dont compet just nobodi better
rm1sra,"b""Concluded 3-Part #Agile #training for IGDTU / One of the best student audiences I've ever worked with! @KhuranaSanya https://t.co/wmwKRyTChZ""",conclud agil train igdtu one best student audienc ive ever work
AdamMGrant,"b""Gender bias in politics: Hillary Clinton is liked when she has power but not when she's seeking it. https://t.co/SQLCtvtqA1""",gender bia polit hillari clinton like power she seek
melrobbins,"b'If you are reading this in bed...Get up. get going. The gym, biz plan &amp; dreams need u https://t.co/3LBAeLk1Py'",If read bedget get go the gym biz plan amp dream need u
AdamMGrant,"b'Overheard an extravert being told he was stifling introverts. His stunned reply: ""There are introverts on my team?!"" https://t.co/fcxoG7jvoK'",overheard extravert told stifl introvert hi stun repli there introvert team
melrobbins,b'Your relationship with yourself sets the tone for your relationship with the world. #LoveYourself \xe2\x9d\xa4\xef\xb8\x8f https://t.co/tCnbgWKf49',your relationship set tone relationship world loveyourself
WWCode_Delhi,"b""Glad to partner with @WTM_Delhi in presenting 'Open Source &amp; Women' on 2nd April at @innov8cowork. See you there :)\nhttps://t.co/jWCJpkloYW""",glad partner
jigyasa_grover,"b'It was lovely being at FOSSASIA OpenTech Summit 2016 @fossasia @mariobehling @hpdang. See you next year, or sooner \xf0\x9f\x98\x89\nhttps://t.co/gttKCoMCfc'",It love fossasia opentech summit see next year sooner
AdamMGrant,"b'Gritty people often rate themselves lower than peers on grit, because they have higher standards. @angeladuckw: https://t.co/iDhYEnHPFO'",gritti peopl often rate lower peer grit higher standard
melrobbins,"b""Have no fear \xe2\x80\x93 #Instagram always has your back. Happy Friday guys. Let's finish the week out strong. \xf0\x9f\x91\x8a\xf0\x9f\x8f\xbc https://t.co/ydff1pEgUg""",have fear instagram alway back happi friday guy let finish week strong
AdamMGrant,"b""Sample questions from the Trump University final exam: these are hilarious and I'm tempted to use them in class. https://t.co/RjPT4CIlAs""",sampl question trump univers final exam hilari Im tempt use class
LeanInOrg,"b'Children with involved fathers are happier, healthier, and more successful. Here are our Tips for All-Star Dads: https://t.co/zfVS6EsVFS'",child involv father happier healthier success here tip allstar dad
jigyasa_grover,"b""When you get 'em before anyone else \xf0\x9f\x98\x89 @gsoc 2016.\nGreat time @fossasia @catallman @mariobehling @hpdang Stephanie ! https://t.co/2VxvQaX66m""",when get em anyon el great time stephani
AdamMGrant,"b""I asked @mcuban &amp; @reidhoffman to show me how to pitch an idea. Here's what I learned.\n#Originals: https://t.co/P3qu92Ps0O""",I ask amp show pitch idea here I learn origin
melrobbins,"b""You don't have to be perfect to inspire others. Let people be inspired by how you deal with your imperfections.""",you dont perfect inspir other let peopl inspir deal imperfect
AdamMGrant,"b'If the world were 100 people, this is what it would look like. Powerful video from @good: https://t.co/5NRWc8BCmf'",If world peopl would look like power video
AdamMGrant,"b""Risk factor for burnout: being an effective giver in high demand. Here's how to change that.\nhttps://t.co/IgP5g3xxsP https://t.co/BIj4jn8GLK""",risk factor burnout effect giver high demand here chang
melrobbins,b'When I broke my fav mug I tweeted a photo. My fav bank had my back sent me this!  @ChaseforBiz #ChaseForLife https://t.co/WIeG2coOxn',when I broke fav mug I tweet photo My fav bank back sent chaseforlif
LeanInOrg,"b""The first ever all-female flight crew touched down in Saudi Arabia \xe2\x80\x94 a country where women still can't drive cars. https://t.co/FvyybVJVNe""",the first ever allfemal flight crew touch saudi arabia countri woman still cant drive car
LeanInOrg,b'On taking a risk to do what you love. One woman shares how she overcame loss and found meaning in her work. #LeanIn https://t.co/aa8ireFevd',On take risk love one woman share overcam loss found mean work leanin
lean_in_dc,"b""Tonight's amazing panelists for our #PerfectYourPitch #workshop! #confidence #LeanInDC https://t.co/1mIUPmJHIP""",tonight amaz panelist perfectyourpitch workshop confid leanindc
namratab94,b'@KhuranaSanya @udacity Thanks for the clarification @tejaskoundinya :)',
tejaskoundinya,"b'@namratab94 @KhuranaSanya @udacity Unfortunately, students who got the scholarships are not eligible.'",unfortun student got scholarship elig
namratab94,b'Hey @KhuranaSanya with your scholarship you are eligible to apply. Check it out :) https://t.co/j7vKt3oXoo',hey
tejaskoundinya,"b'Are you/were a nanodegree student on @udacity? If so, try to win a Google I/O ticket at https://t.co/w6bgg74aTi https://t.co/9YNR7rO2M0'",are you/wer nanodegre student If tri win googl i/o ticket
AdamMGrant,"b'""With all the power that we hold in our hands, why are people still suffering?"" @CaseyGerald dazzles @TEDTalks: https://t.co/Vo70d52aOl'",with power hold hand peopl still suffer
AdamMGrant,b'Fascinating data on negotiation styles across cultures: confrontation &amp; emotion expression. https://t.co/qy2lQnO9ZK https://t.co/pRE4rjleQ8',fascin data negoti style across cultur confront amp emot express
AnitaBorg_India,b'@GeethaKan talks about her #BEUNSTOPPABLE moment at #WOI2016 @Cisco India https://t.co/KkVmPKWeVo',talk beunstopp moment woi2016 india
AdamMGrant,"b""#LikeAGirl introduces emojis showing women's strength at work &amp; in sports. Congrats @lucywalkerfilm @michelebaeten! https://t.co/W85Je0dkjQ""",likeagirl introduc emoji show woman strength work amp sport congrat
Always,b'Good one @KhuranaSanya! Girls can do anything #LikeAGirl!',good one girl anyth likeagirl
WomenWhoCode,"b'""You can change the world with passion and hard work."" Our #WWCode Directors around the world are doing just that. https://t.co/T0qNvCKxmX'",you chang world passion hard work our wwcode director around world
WomenWhoCode,"b'#WWCode Global Director @Joeycrose interviewing tech leaders on innovation, leadership and balance @VMwareIN https://t.co/pnRYwifzB4'",wwcode global director interview tech leader innov leadership balanc
jigyasa_grover,"b'""Why women ?"" You are truly inspiring @alaina :) #WWCode https://t.co/pt9dgHuflU'",whi woman you truli inspir wwcode
AnitaBorg_India,"b'""500 cr under Stand-Up India scheme for SC/ST and women entrepreneurs is a very positive step.""@GeethaKan https://t.co/bBZinOMRvg'",cr standup india scheme sc/st woman entrepreneur posit step
jigyasa_grover,"b'The stage is all set. Lights, Camera, Action ! Go @WomenWhoCode at @VMwareIN Bangalore :) https://t.co/oVvfFLEpm8'",the stage set light camera action Go
jigyasa_grover,b'Let the day roll in.... @WomenWhoCode Regional Leadership Meet 2016. #WWCode https://t.co/oweLfnquCV',let day roll region leadership meet wwcode
AdamMGrant,"b""Livestream @amyjccuddy. Won't stand like Wonder Woman. Will cover power of powerless poses. https://t.co/ngnSrJgiTO https://t.co/YAIykbZTUx""",livestream wont stand like wonder woman will cover power powerless pose
AdamMGrant,b'I would rather have a drink with someone who\xe2\x80\x99s searching for the truth than someone who\xe2\x80\x99s found it.\n-Vaclav Havel: https://t.co/1SvxELBevk',I would rather drink someon search truth someon found vaclav havel
tricksy0207,b'Do you know @gnome.asia summit 2016 is being  organized in India this time? https://t.co/2fW9m7r9HJ',Do know summit organ india time
AdamMGrant,"b'This cartoon says a lot about why people, relationships, and companies fail.\n\nVia @rebrebele: https://t.co/r5cmavubHI'",thi cartoon say lot peopl relationship compani fail via
melrobbins,"b'""Dear tomorrow, do whatever you wanna do .. I have already lived my today and I am not afraid of you anymore.""'",dear tomorrow whatev wan na I alreadi live today I afraid anymor
melrobbins,b'Set small goals for yourself and meet them. You are responsible to take care of yourself. You should be your priority!!',set small goal meet you respons take care you prioriti
melrobbins,"b'You are who you are, you feel what you feel. There is no need to explain yourself. https://t.co/NxMc6oTNkO'",you feel feel there need explain
im_a_developer,b'Learn to Make #Games Without Code - Using 3Unity and Playmaker\n\xe2\x98\x9e https://t.co/UVrSsKn7u2\n\n#gamedeveloper  #udemy https://t.co/qtTxe0qDkp',learn make game without code use playmak gamedevelop udemi
melrobbins,b'I\xe2\x80\x99m not telling you it\xe2\x80\x99s going to be easy - I\xe2\x80\x99m telling you it\xe2\x80\x99s going to be worth it.',I tell go easi I tell go worth
AdamMGrant,"b'Nervous about public speaking, or just want more practice? Virtual reality platform simulates a crowd: https://t.co/FMALuHTojB'",nervou public speak want practic virtual realiti platform simul crowd
melrobbins,"b'You never know what someone else is going through, where they come from, or how much they could use a friend. https://t.co/De6vJpu7zz'",you never know someon el go come much could use friend
LogicToRescue,"b""It's great to see more Indian women becoming programmers! https://t.co/JqCZorCvWs""",it great see indian woman becom programm
melrobbins,"b""Today's #wcw goes out to the fearless #leader and COO @facebook @sherylsandberg \xf0\x9f\x92\x81\xf0\x9f\x8f\xbb\xf0\x9f\x92\xa1\xf0\x9f\x97\x9d\xf0\x9f\x94\x93 #leadership #quoteoftheday https://t.co/lSk01JfRTY""",today wcw goe fearless leader coo leadership quoteoftheday
Anand__Pillai,"b'It is not how much we have, but how much we enjoy, that makes happiness. - Charles Spurgeon #quote'",It much much enjoy make happi charl spurgeon quot
LeanInCanada,"b'Men are assumed to be good managers, but #women have to prove it: https://t.co/6xgIKlad5n #genderequality #leanin https://t.co/AUCps6zyUJ'",men assum good manag woman prove genderequ leanin
melrobbins,b'Turn those dreams into ACTION - action turns into results - sooner or later you will be living the dream.',turn dream action action turn result sooner later live dream
AdamMGrant,"b""What would you do if you weren't afraid? My event tonight with @sherylsandberg on #Originals, livestream 7pm PT: https://t.co/ngnSrJxUio""",what would werent afraid My event tonight
AdamMGrant,"b'When women collaborate with men, they get less credit for their contributions. https://t.co/XmXyqyv4lP https://t.co/ItJ274y24n'",when woman collabor men get le credit contribut
tricksy0207,b'You can cast your vote here! :)\nhttps://t.co/GX6DEJstYR https://t.co/ZkOAjwFEy3',you cast vote
AdamMGrant,"b""How to make email intros that don't ruin both people\xe2\x80\x99s lives. Start with uncommon commonalities, rare similarities: https://t.co/t985uBgCjE""",how make email intro dont ruin peopl live start uncommon common rare similar
LeanInOrg,"b'Your Most Creative Ideas Are the Hardest to Sell\xe2\x80\x94But They Don\xe2\x80\x99t Have to Be, by @AdamMGrant https://t.co/wtcxGHurlJ https://t.co/9LyWX2fwW4'",your most creativ idea are hardest sell—but they don have Be
melrobbins,"b""I'm at the Saenger Theatre (@SaengerNOLA) in New Orleans prepping 4 my speech tomorrow.  Absolutely breathtaking! https://t.co/jAPNgjlI0n""",Im saenger theatr new orlean prep speech tomorrow absolut breathtak
LeanInOrg,b'Ava Duvernay is hiring an all-female staff for her new television show: https://t.co/isyjEIWqZ6 https://t.co/DOHqEuMRkP',ava duvernay hire allfemal staff new televis show
AdamMGrant,b'A powerful way to teach kids not to judge others by the color of their skin... https://t.co/v87Sm3h3qQ',A power way teach kid judg other color skin
yatesey,"b""Inside Facebook's AI hackathon. A @FastCompany exclusive: https://t.co/rn8XxQfcZ7 by @greeterdan /""",insid facebook AI hackathon A
LeanInOrg,b'Looking to achieve more balance in your life? Embrace this mantra: good is better than perfect. https://t.co/zptUb1BlRQ',look achiev balanc life embrac mantra good better perfect
AdamMGrant,b'Originals are rarely the first movers. They are fashionably late to the party. https://t.co/eJ9PjHuAa7 https://t.co/4IWbmw3oc2',origin rare first mover they fashion late parti
melrobbins,b'One day your decision to not give up will inspire every person you come into contact with. Keep going. https://t.co/obfhFdVhKz',one day decis give inspir everi person come contact keep go
LeanInOrg,b'Meet the astronauts who want to take the first steps on Mars...and take one giant leap for womankind. #LeanIn https://t.co/vAK5NgxG1L',meet astronaut want take first step marsand take one giant leap womankind leanin
WomenWhoCode,"b'#ApplaudHer @wwcodeatx Director @SaraChicaD interviewed by @mentoringdevs. ""A woman who codes is a woman who rocks"" https://t.co/tVnin9gTIJ'",applaudh director interview A woman code woman rock
SaraChicaD,b'My interview with @mentoringdevs A woman who codes is a woman who rocks https://t.co/lMQ1HxB8Cv @WomenWhoCode #WWCode #YesWeCode #Latinas',My interview A woman code woman rock wwcode yeswecod latina
SaraChicaD,"b'I was interviewed about #devlife, check it out/share, let me know ur thots &amp; folo @mentoringdevs  https://t.co/MsjqkthQAs #WWCode #YesWeCode'",I interview devlif check out/shar let know ur thot amp folo wwcode yeswecod
mentoringdevs,"b""So what's the best thing about Tuesday's? A brand new Mentoring #Developers episode, of course! Welcome @SaraChicaD https://t.co/psfH8m0umj""",So what best thing tuesday A brand new mentor develop episod cours welcom
mentoringdevs,"b'""Knowledge doesn\'t go to waste. We unknowingly transfer it from 1 programming or human language 2 another"" Listen to https://t.co/vhFqq9oA6N'",knowledg doesnt go wast We unknowingli transfer program human languag anoth listen
CatalystInc,b'#NationalMentoringMonth: @womenofthedream Leslie Morris Talks About the Importance of #Mentoring https://t.co/210H0CU7as',nationalmentoringmonth lesli morri talk about import mentor
EssenceGoddess,"b'""Having the opportunity to take this journey with @GirlsForAChange is my Dream coming true."" Thank you RT https://t.co/lVEwOSTs6w'",have opportun take journey dream come true thank
AdamMGrant,b'Do you know what it takes to be original? The evidence might surprise you. Test your knowledge here: https://t.co/jxSdijOvtX',Do know take origin the evid might surpris test knowledg
LeanInOrg,b'30 Things I\xe2\x80\x99m Happy I Tried and Learned Before 30 https://t.co/J6AAg4veiP @levoleague https://t.co/soUqn34K9U',thing I happi I tri learn befor
leaninigdtuw,b'Power Pose !! \n\nhttps://t.co/QC3Wjq40SF https://t.co/QblO0hdL5y',power pose
DjangoGirlsBLR,b'Are you a woman who wishes to attend @pycon but worried about funding? You are eligible for a @pyladies grant. https://t.co/9GBvQYTcAN',are woman wish attend worri fund you elig grant
WWCode_Delhi,b'@WomenWhoCode @alaina Wish you a lovely 2016 . #HappyNewYear',wish love happynewyear
WWCode_Delhi,b'May #Happy2016 give you loads of reasons to celebrate and have wonderful days that are filled with laughter and gaiety. #NewYear',may happy2016 give load reason celebr wonder day fill laughter gaieti newyear
jigyasa_grover,b'Let 2016 roll in with swag and bring loads of luck and happiness  \xe2\x9c\xa8\nHappy New Year !',let roll swag bring load luck happi happi new year
kunjal23,b'Looking for list of 200+ Inspiring #Women we all can &amp; must learn from!! Here u go  https://t.co/Uzy16HKRke cc @SHEROESIndia @SheThePeopleTV',look list inspir woman amp must learn here u go cc
LeanInOrg,"b'Feedback is a gift\xe2\x80\x94make 2016 the year you ask for it, and watch it pay dividends in your career. #LeanInResolutions https://t.co/L8jevpKCi3'",feedback gift—mak year ask watch pay dividend career leaninresolut
computistic,b'Retrieved Movie Tweets using moviedb+twitter API @fossasia  with mentors from around the world @jigyasa_grover @sudheesh001 #FOSSASIA #GCI',retriev movi tweet use moviedb+twitt api mentor around world fossasia gci
LeanInOrg,"b'New year, new job? Make a #LeanIn resolution for 2016\xe2\x80\x94from negotiating your salary to asking for that raise. https://t.co/N0lqFsUXug'",new year new job make leanin resolut negoti salari ask rais
WomenTechmakers,b'Excited to have partnered w/ @anitaborg_org @LatinasInC @girldevelopit @WomenWhoCode  &amp; more this year #WTM15Rewind https://t.co/2aUpzlTata',excit partner w/ amp year wtm15rewind
NxtbigAditya,b'Built Lights Out ! https://t.co/epDezICblq using #JavaScript for #FOSSASIA @jigyasa_grover @hpdang with mentors from around the world #GCI',built light out use javascript fossasia mentor around world gci
AdamMGrant,"b""When making a tough decision, we're often told to sleep on it-- but that can make us less certain. https://t.co/O9NorGO5yP""",when make tough decis often told sleep make u le certain
LeanInOrg,b'Things we loved in 2015: #ILookLikeAnEngineer showed the internet just what an engineer required (hint: no Y-chromosome required)',thing love ilooklikeanengin show internet engin requir hint ychromosom requir
rashmeet279,b'Life as we know it : Little Things. https://t.co/zDaR4gsw8g',life know littl thing
leaninigdtuw,b'https://t.co/R78jGTi59s',
leaninigdtuw,"b'""When it was time for her to take question, I raised my hand even though I was shivering with nervousness. In... https://t.co/RiNIVEqXIO'",when time take question I rais hand even though I shiver nervous In
WTM_Delhi,b'Seeking volunteers for upcoming sessions in 2016. Join us ! Feel free to ping for further details. Check out: https://t.co/GaSTOrhJqR',seek volunt upcom session join u feel free ping detail check
leaninigdtuw,b'https://t.co/zS9qxN2794',
jigyasa_grover,b'To a joyful present and a well remembered past. \nBest wishes for Happy Holidays and a magnificent New Year.\n#SeasonsGreetings',To joy present well rememb past best wish happi holiday magnific new year seasonsgreet
leaninigdtuw,b'https://t.co/9g6honpY3Y',
girlslikemeinc,"b""@KhuranaSanya you're welcome. Keep being great, Girl!""",your welcom keep great girl
amyjccuddy,"b'""Simply put, lying \xe2\x80\x94 or being inauthentic \xe2\x80\x94 is hard work. We\xe2\x80\x99re telling one story while suppressing another...""'",simpli put lie inauthent hard work We tell one stori suppress anoth
Anand__Pillai,"b'You may never know what results come of your actions, but if you do nothing, there will be no results. - Gandhi #quote'",you may never know result come action noth result gandhi quot
melrobbins,"b'Note to self: ""Don\'t worry, if it\'s suppose to happen, it will.""'",note self dont worri suppos happen
WomenWhoCode,b'More scholarships. More networks. More impact. More #womenintech in 2016 but we need YOU! Donate to #WWCode: https://t.co/lBvC4MykqM',more scholarship more network more impact more womenintech need you donat wwcode
